Название организации  (спортивного объекта);Тип (каток/лыжная трасса);Район;Время суток (день/ ночь/ день и ночь);Расположение (открытый/закрытый);Наличие проката инвентаря (да/нет);Наличие услуг инструктора (да/нет);Наличие помещения для переодевания (да/нет);Наличие камеры хранения (да/нет);Наличие кафе на территории (да/нет);широта;долгота
ГБОУ ДОД «Центр Физкультура и Здоровье»;каток;Красногвардейский;день;открытый;0;1;0;0;0;59.923924;30.42369
Большой зимний каток у Охта Молла;каток;Красногвардейский;день;открытый;1;0;1;1;1;59.94123432964758;30.417191013693817
СПБ ГБУ «Кронштадтский ОСЦ»;каток;Кронштадтский;день;открытый;1;0;1;0;0;59.98545671721552;29.79961321389528
СПБ ГБУ «Кронштадтский ОСЦ»;лыжная трасса;Кронштадтский;день;открытый;1;1;1;0;0;59.98545671721552;29.79961321389528
"СПб ГБУ ""Кронштадтский ОСЦ""";каток;Кронштадтский;день;открытый;0;1;0;0;0;60.00968215044056;29.721402085060838
"СПб ГБУ ""Кронштадтский ОСЦ""";каток;Кронштадтский;день;открытый;0;1;0;0;0;59.99772247781833;29.759086642730814
"СПб ГБУ ""Кронштадтский ОСЦ""";каток;Кронштадтский;день;открытый;0;0;0;0;0;59.99298956202367;29.782176100401074
"СПб ГБУ ""Кронштадтский ОСЦ""";каток;Кронштадтский;день;открытый;0;1;0;0;0;59.988826239162776;29.77418098321382
АО «Концерн «Морское подводное оружие-Гидроприбор», База отдыха Прибой, ГКУ «Дирекция особо охраняемых природных территорий Санкт-Петербурга;лыжная трасса;Курортный;день;открытый;1;0;1;0;0;60.208819;29.720182
Государственное бюджетное учреждение спортивная школа олимпийского резерва Курортного района Санкт-Петербурга;лыжная трасса;Курортный;день;открытый;0;0;1;1;0;60.195984;29.717322
"Санкт-Петербургское государственное бюджетное учреждение культуры ""Зеленогорский парк культуры и отдыха""";каток;Курортный;день;открытый;1;0;1;0;0;60.19207884111467;29.69896048852033
"Санкт-Петербургское государственное бюджетное учреждение культуры ""Парк культуры и отдыха ""Дубки"" (Большой ледовый каток)";каток;Курортный;день;открытый;1;1;1;1;0;60.091931;29.941715
"Санкт-Петербургское государственное бюджетное учреждение культуры ""Парк культуры и отдыха ""Дубки"" (Хоккейная коробка)";каток;Курортный;день;открытый;1;1;1;1;0;60.091331;29.94193
"Санкт-Петербургское государственное бюджетное учреждение культуры ""Парк культуры и отдыха ""Дубки""";лыжная трасса;Курортный;день/ночь;открытый;1;1;1;1;0;60.088908;29.933647
"Санкт-Петербургское государственное бюджетное учреждение культуры ""Парк культуры и отдыха ""Дубки""";лыжная трасса;Курортный;день/ночь;открытый;1;1;1;1;0;60.09368;29.93904
"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""";каток;Курортный;день;открытый;0;0;0;0;0;60.105669;29.977545
"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""";каток;Курортный;день;закрытый;1;1;1;0;0;60.09903;29.968139
"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""";каток;Курортный;день;открытый;0;0;0;0;0;60.091588;29.957216
"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""";лыжная трасса;Курортный;день;открытый;0;0;0;0;0;60.105499;29.977037
"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""";лыжная трасса;Курортный;день;открытый;0;0;0;0;0;60.105499;29.977037
"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""";лыжная трасса;Курортный;день;открытый;0;0;0;0;0;60.105499;29.977037
"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""";лыжная трасса;Курортный;день;открытый;0;0;0;0;0;60.068242;29.960314
СПб ГБУ «ЦФКС и З Курортного района Санкт-Петербурга»;каток;Курортный;день;открытый;0;0;0;0;0;60.118277;30.185007
"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""";лыжная трасса;Курортный;день;открытый;0;0;0;0;0;60.117339;30.151754
"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""";лыжная трасса;Курортный;день;открытый;0;0;0;0;0;60.12327;30.114337
"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""";лыжная трасса;Курортный;день;открытый;0;0;0;0;0;60.086804;29.970415
"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""";лыжная трасса;Курортный;день;открытый;0;0;0;0;0;60.211047;29.790783
"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""";лыжная трасса;Курортный;день;открытый;0;0;0;0;0;60.094372;29.939667
"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""";лыжная трасса;Курортный;день;открытый;0;0;0;0;0;60.117163;29.966075
Санкт-Петербургское региональное общественное учреждение «Спортивный клуб «Пухтолова гора»;горнолыжный склон;Курортный;день;открытый;1;1;1;1;1;60.232162;29.683729
Санкт-Петербургское региональное общественное учреждение «Спортивный клуб «Пухтолова гора»;горнолыжный склон;Курортный;день;открытый;1;1;1;1;1;60.232162;29.683729
Санкт-Петербургское региональное общественное учреждение «Спортивный клуб «Пухтолова гора»;каток;Курортный;день;открытый;1;1;1;1;1;60.231997;29.685188
"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)";каток;Московский;день;открытый;0;1;0;0;0;59.887711;30.320378
"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)";каток;Московский;день;открытый;0;1;0;0;0;59.81022;30.29845
"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)";каток;Московский;день;открытый;0;1;0;0;0;59.856835;30.309319
"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)";каток;Московский;день;открытый;0;1;0;0;0;59.846842;30.327177
"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)";каток;Московский;день;открытый;0;1;0;0;0;59.873631;30.32367
"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)";каток;Московский;день;открытый;0;1;0;0;0;59.856008;30.300938
"СПб ГБУ ""ЦФКСиЗ Московского района"" Ледовая Арена";каток;Московский;день;закрытый;1;1;1;1;1;59.850349;30.351998
"""Парк Победы""";каток;Московский;день;открытый;1;0;1;1;1;59.866319;30.321986
"СПб ГБУ ""ЦФКСиЗ Московского района"" Ледовая Арена";лыжная трасса;Московский;день;открытый;0;0;0;0;0;59.850349;30.351998
"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)";лыжная трасса;Московский;день;открытый;0;0;0;0;0;59.866319;30.321986
"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)";лыжная трасса;Московский;день;открытый;0;0;0;0;0;59.838372;30.32601
"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)";лыжная трасса;Московский;день;открытый;0;0;0;0;0;59.867913;30.30092
СПб ГБУ «ЦФКСиЗ Петроградского района»;каток;Петроградский;день;открытый;0;0;0;0;0;59.95734;30.33466
